

         MODEL DEFAULTS
         --------------

Model Name:         SigCake2
Model Description:  
Output File:        UNTITLED.OUT
Output Plot Style:  NOAUTO_FIT
Run Mode:           HI_SPEED
Trace Vars:         QTYPE,Q[TYPE],OPTIME[3],OPTIME[2],INDEX,TYPE,SUPPLY[1;1
Random Number Seed: 12346
Initial Values:     8,4,4,4,120,360,30,30,30,30,.4,.4,.2,.1,.3,.3,.3,.1,.3,.3,.3,.1,.3,.3,.3
Ending Condition:   STOP_ON_TIME
Ending Time:        20000.000
Trace Events:       ALL EVENTS TRACED
Hide Edges:         



 Time        Event       Count       QTYPE       Q[TYPE]     OPTIME[3]   OPTIME[2]   INDEX       TYPE        SUPPLY[1;1 
 152.846     ARRIVE      6           0           0           1           480         2           1           50          
 152.846     SUP         21          0           0           1           480         0           1           50          
 152.846     START_S     21          0           0           1           480         0           1           50          
 154.287     FINISH      18          0           0           1           480         2           3           50          
 154.287     CHECK_S     17          0           0           1           480         3           3           50          
 154.287     SUP         22          0           0           1           480         3           3           50          
 154.287     START_S     22          0           0           1           480         3           3           50          
 154.933     FINISH      19          0           0           1           480         0           1           50          
 154.933     CHECK_S     18          0           0           1           480         1           1           50          
 154.933     SUP         23          0           0           1           480         1           1           50          
 154.933     START_S     23          0           0           1           480         1           1           45          
 156.266     FINISH      20          0           0           1           480         1           1           45          
 156.266     CHECK_S     19          0           0           1           480         2           1           45          
 156.266     SUP         24          0           0           1           480         2           1           45          
 156.266     START_S     24          0           0           1           480         2           1           45          
 157.620     FINISH      21          0           0           1           480         4           3           45          
 157.620     LEAVE       3           0           0           1           480         4           3           45          
 160.127     ARRIVE      7           0           0           1           480         4           3           45          
 160.127     SUP         25          0           0           1           480         0           3           45          
 160.127     START_S     25          0           0           1           480         0           3           45          
 162.767     FINISH      22          0           0           1           480         0           1           45          
 162.767     CHECK_S     20          0           0           1           480         1           1           45          
 162.767     SUP         26          0           0           1           480         1           1           45          
 162.767     START_S     26          0           0           1           480         1           1           45          
 163.118     FINISH      23          0           0           1           480         1           3           45          
 163.118     CHECK_S     21          0           0           1           480         2           3           45          
 163.118     SUP         27          0           0           1           480         2           3           45          
 163.118     START_S     27          0           0           1           480         2           3           45          
 163.764     FINISH      24          0           0           1           480         2           3           45          
 163.764     CHECK_S     22          0           0           1           480         3           3           45          
 163.764     SUP         28          0           0           1           480         3           3           45          
 163.764     START_S     28          0           0           1           480         3           3           45          
 164.220     FINISH      25          0           0           1           480         2           1           45          
 164.220     CHECK_S     23          0           0           1           480         3           1           45          
 164.220     SUP         29          0           0           1           480         3           1           45          
 164.220     START_S     29          0           0           1           480         3           1           45          
 165.023     FINISH      26          0           0           1           480         3           1           45          
 165.023     CHECK_S     24          0           0           1           480         4           1           45          
 165.023     SUP         30          0           0           1           480         4           1           45          
